Station Name,Lat,Lng,Borough
"Stanley Grove, Battersea",51.527078,-0.02585,Tower Hamlets
"Felsham Road, Putney",51.467681,-0.174239,Wandsworth
"Warren Street Station, Euston",51.517052,-0.174371,City of Westminster
"Colombo Street, Southwark",51.488056,-0.021158,Tower Hamlets
"Eastbourne Mews, Paddington",51.506816,-0.092749,Southwark
"Preston's Road, Cubitt Town",51.519022,-0.032768,Tower Hamlets
"Crabtree Lane, Fulham",51.511899,-0.107156,City of London
"Upper Bank Street, Canary Wharf",51.490092,-0.148363,City of Westminster
"Globe Town Market, Bethnal Green",51.524991,-0.122021,Camden
"Westminster University, Marylebone",51.507572,-0.058596,Tower Hamlets
"Baylis Road, Waterloo",51.499122,-0.112052,Lambeth
"Orsett Terrace, Bayswater",51.521411,-0.164574,City of Westminster
"Eccleston Place, Victoria",51.506845,-0.123959,City of Westminster
"Green Street, Mayfair",51.519613,-0.06365,Tower Hamlets
"Park Lane, Mayfair",51.511891,-0.0137,Tower Hamlets
"Grant Road East, Clapham Junction",51.488091,-0.109927,Lambeth
"Chapel Place, Marylebone",51.525311,-0.115514,Islington
"West Cromwell Road, Earl's Court",51.543399,-0.139768,Camden
"Lexham Gardens, Kensington",51.522458,-0.154845,City of Westminster
"New Kent Road, The Borough",51.494902,-0.098324,Southwark
"Great Tower Street, Monument",51.510432,-0.082866,City of London
"Endsleigh Gardens, Euston",51.526753,-0.130549,Camden
"Old Brompton Road, South Kensington",51.511451,-0.064099,Tower Hamlets
"Hinde Street, Marylebone",51.508042,-0.125915,City of Westminster
"Campden Hill Road, Notting Hill",51.46858,-0.184563,Hammersmith and Fulham
"Kennington Road  , Vauxhall",51.484442,-0.110106,Lambeth
"Dock Street, Wapping",51.497951,-0.194828,Kensington and Chelsea
"Wenlock Road , Hoxton",51.50218,-0.074223,Southwark
"Phene Street, Chelsea",51.523695,-0.183498,City of Westminster
"Stephendale Road, Sands End",51.523542,-0.108332,Islington
"Alma Road, Wandsworth",51.49458,-0.153904,City of Westminster
"Austin Road, Battersea Park",51.501398,-0.196463,Kensington and Chelsea
"Hop Exchange, The Borough",51.504743,-0.09156,Southwark
"Lower Marsh, Waterloo",51.488013,-0.187497,Kensington and Chelsea
"St. George Street, Mayfair",51.523645,-0.076948,Hackney
"Great Dover Street, The Borough",51.544636,-0.019849,Hackney
"Freston Road, Avondale",51.488758,-0.220523,Hammersmith and Fulham
"Earnshaw Street , Covent Garden",51.535344,-0.033828,Tower Hamlets
"Poured Lines, Bankside",51.506737,-0.10329,Southwark
"Carey Street, Holborn",51.519294,-0.128018,Camden
"Harper Road, The Borough",51.525839,-0.103855,Islington
"Tysoe Street, Clerkenwell",51.504886,-0.115372,Lambeth
"Queen's Gate (North), Kensington",51.497838,-0.011012,Tower Hamlets
"Baker Street, Marylebone",51.912613,0.749294,City of Westminster
"Museum of London, Barbican",51.517865,-0.096307,City of London
"Emperor's Gate, South Kensington",51.501946,-0.185012,Kensington and Chelsea
"Curlew Street, Shad Thames",51.474359,-0.155431,Wandsworth
"Serpentine Car Park, Hyde Park",51.51165,-0.137192,City of Westminster
"Chepstow Villas, Notting Hill",51.51688,-0.162746,City of Westminster
"Waterloo Place, St. James's",51.506336,-0.131923,City of Westminster
"Barbican Centre, Barbican",51.522736,-0.053921,Tower Hamlets
"South Audley Street, Mayfair",51.510935,-0.151247,City of Westminster
"Southampton Place, Holborn",51.4782,-0.182451,Kensington and Chelsea
"Alderney Street, Pimlico",51.518183,-0.163767,City of Westminster
"Bath Street, St. Luke's",51.520381,-0.170146,City of Westminster
"Smith Square, Westminster",51.519075,-0.20469,Kensington and Chelsea
"Northdown Street, King's Cross",51.484521,-0.149807,Wandsworth
"Putney Bridge Station, Fulham",51.502997,-0.018622,Tower Hamlets
"Colet Gardens, Hammersmith",51.524783,-0.160542,City of Westminster
"Normand Park, West Kensington",51.500028,-0.21144,Kensington and Chelsea
"Silverthorne Road, Battersea",51.46777,-0.198662,Hammersmith and Fulham
"Blythe Road West, Shepherd's Bush",51.494227,-0.191157,Kensington and Chelsea
"Old Montague Street, Whitechapel",51.490657,-0.132174,City of Westminster
"Percival Street, Finsbury",51.529653,-0.080186,Hackney
"New Fetter Lane, Holborn",51.489096,-0.117384,Lambeth
"Pitfield Street Central, Hoxton",51.510357,-0.142454,City of Westminster
"Hollybush Gardens, Bethnal Green",51.477243,-0.164948,Wandsworth
"Doddington Grove, Kennington",51.483485,-0.147658,Wandsworth
"Caldwell Street, Stockwell",51.51947,-0.135711,Camden
"Seymour Place, Marylebone",51.517317,-0.162206,City of Westminster
"Maclise Road, Olympia",51.524718,-0.13853,Camden
"Reardon Street, Wapping",51.500314,-0.159068,Kensington and Chelsea
"Bow Church Station, Bow",51.529666,-0.024322,Tower Hamlets
"Watney Market, Stepney",51.499428,-0.179708,City of Westminster
"Bancroft Road, Bethnal Green",51.528019,-0.019866,Tower Hamlets
"Arlington Road, Camden Town",51.496683,-0.205243,Kensington and Chelsea
"Riverlight South, Nine Elms",51.499359,-0.009203,Tower Hamlets
"Ferndale Road, Brixton. ",51.534566,-0.086221,Hackney
"Crisp Road, Hammersmith",51.538612,-0.138526,Camden
"Neville Gill Close, Wandsworth",51.524848,-0.099458,Islington
"Belford House, Haggerston",51.524812,-0.035382,Tower Hamlets
"Drummond Street , Euston",51.515131,-0.180378,City of Westminster
"Spanish Road, Clapham Junction",51.501172,-0.180236,City of Westminster
"Blenheim Crescent, Ladbroke Grove",51.514756,-0.208199,Kensington and Chelsea
"Penfold Street, Marylebone",51.531842,-0.105714,Islington
"Southwark Station 1, Southwark",51.526511,-0.027758,Tower Hamlets
"Cheapside, Bank",51.513912,-0.092817,City of London
"Cheshire Street, Bethnal Green",51.507489,-0.162237,City of Westminster
"St. Katharine's Way, Tower",51.506584,-0.072139,Tower Hamlets
"Thurtle road, Haggerston",51.519594,-0.02809,Tower Hamlets
"Mostyn Grove, Bow",51.462007,-0.206233,Wandsworth
"Newton Street, Covent Garden",51.480866,-0.18376,Kensington and Chelsea
"Ram Street, Wandsworth",51.491624,-0.202652,Hammersmith and Fulham
"Clapham Common North Side, Clapham Common",51.490236,-0.014182,Tower Hamlets
"Ilchester Gardens, Bayswater",51.50372,-0.017343,Tower Hamlets
"Manbre Road, Hammersmith",51.4919,-0.101158,Southwark
"BBC White City, White City",51.532968,-0.03664,Tower Hamlets
"Geraldine Street, Elephant & Castle",51.511969,-0.02561,Tower Hamlets
"Aintree Street, Fulham",51.504433,-0.149786,City of Westminster
"Lansdowne Walk, Ladbroke Grove",51.531482,-0.094154,Hackney
"King Edward Street, St Pauls",51.514204,-0.201126,Kensington and Chelsea
"Page Street, Westminster",51.492271,-0.14698,City of Westminster
"Foley Street, Fitzrovia",51.475136,-0.20186,Hammersmith and Fulham
"Alpha Grove, Millwall",51.491041,-0.01832,Tower Hamlets
"Flamborough Street, Limehouse",51.519098,-0.163265,City of Westminster
"Cleveland Way, Stepney",51.519179,-0.147737,City of Westminster
"Westferry DLR, Limehouse",51.534467,-0.12211,Islington
"Gloucester Avenue, Camden Town",51.467134,-0.215678,Wandsworth
"Guildhouse Street, Victoria",51.502647,-0.021662,Tower Hamlets
"Argyll Road, Kensington",51.514612,-0.039568,Tower Hamlets
"South Wharf Road, Paddington",51.480883,-0.194349,Hammersmith and Fulham
"Charing Cross Hospital, Hammersmith",51.460859,-0.212483,Wandsworth
"Imperial Road, Sands End",51.487253,-0.205462,Hammersmith and Fulham
"Upcerne Road, West Chelsea",51.507433,-0.134542,City of Westminster
"Prince of Wales Drive, Battersea Park",51.509744,-0.012009,Tower Hamlets
"Mile End Park Leisure Centre, Mile End",51.512834,-0.047189,Tower Hamlets
"Gwendwr Road, West Kensington",51.527827,-0.107338,Islington
"Victoria & Albert Museum, South Kensington",51.498793,-0.165522,City of Westminster
"Euston Square Gardens, Euston",51.507139,-0.067044,Tower Hamlets
"Gunmakers Lane, Old Ford",51.521387,-0.02726,Tower Hamlets
"Millharbour, Millwall",51.46873,-0.146335,Lambeth
"Bell Lane, Liverpool Street",50.872532,-2.964589,Tower Hamlets
"Handyside Street, King's Cross",51.522737,-0.106018,Islington
"New Spring Gardens Walk, Vauxhall",51.520969,-0.085665,Islington
"Fore Street Avenue, Guildhall",51.529743,-0.121766,Camden
"Bankside Mix, Bankside",51.517503,-0.075881,Tower Hamlets
"Margery Street, Clerkenwell",51.510751,-0.121751,City of Westminster
"Cadogan Place, Knightsbridge",51.497318,-0.09322,Southwark
"St. Luke's Church, Chelsea",51.534014,-0.091869,Hackney
"Queen Mary's, Mile End",51.496029,-0.106047,Southwark
"The Green Bridge, Mile End",51.493865,-0.13098,City of Westminster
"Christian Street, Whitechapel",51.508925,-0.196198,Kensington and Chelsea
"Ackroyd Drive, Bow",51.520413,-0.141402,City of Westminster
"Strata, Elephant & Castle",51.539268,-0.141088,Camden
"Eaton Square (South), Belgravia",51.496679,-0.009888,Tower Hamlets
"Islington Green, Angel",51.535767,-0.064753,Hackney
"Snowsfields, London Bridge",51.458716,-0.180683,Wandsworth
"Star Road, West Kensington",51.513606,-0.052054,Tower Hamlets
"Chesilton Road, Fulham",51.492435,-0.216577,Hammersmith and Fulham
"Sandilands Road, Walham Green",51.536719,-0.142275,Camden
"Rifle Place, Avondale",51.488059,-0.009556,Tower Hamlets
"Imperial Wharf Station, Sands End",51.505097,-0.100119,Southwark
"Westminster Bridge Road, Elephant & Castle",51.517148,-0.183437,City of Westminster
"Southwark Street, Bankside",51.505428,-0.098388,Southwark
"Clapham Road, Lingham Street, Stockwell",51.463086,-0.157343,Wandsworth
"Sea Containers, South Bank",51.496909,-0.022804,Tower Hamlets
"Wendon Street, Old Ford",51.515542,-0.038704,Tower Hamlets
"Ebury Bridge, Pimlico",51.509468,-0.003589,Tower Hamlets
"Sail Street, Vauxhall",51.461759,-0.165798,Wandsworth
"Walmer Road, Avondale",51.518328,-0.139696,City of Westminster
"Parkway, Camden Town",51.536605,-0.146383,Camden
"Lancaster Drive, Blackwall",51.530769,-0.025684,Tower Hamlets
"Tallis Street, Temple",51.522586,-0.156735,City of Westminster
"Bridge Avenue, Hammersmith",51.523013,-0.042149,Tower Hamlets
"Fulham Broadway, Walham Green",51.493237,-0.140385,City of Westminster
"Hortensia Road, West Brompton",51.486364,-0.137744,City of Westminster
"Lots Road, West Chelsea",51.534489,-0.035939,Tower Hamlets
"Hammersmith Town Hall, Hammersmith",51.519733,-0.020742,Tower Hamlets
"Waterloo Station 1, Waterloo",51.587141,-3.161182,Lambeth
"Imperial College, Knightsbridge",51.516092,-0.187356,City of Westminster
"The Tennis Courts, The Regent's Park",51.514513,-0.077349,City of London
"Montpelier Street, Knightsbridge",51.524401,-0.166656,City of Westminster
"Rathbone Street, Fitzrovia",51.513984,-0.056778,Tower Hamlets
"Embankment (Savoy), Strand",51.492164,-0.126108,City of Westminster
"The Vale, Chelsea",51.52376,-0.128462,Camden
"Nevern Place, Earl's Court",51.504533,-0.19248,Kensington and Chelsea
"Concert Hall Approach 1, South Bank",51.505073,-0.115943,Lambeth
"Central House, Aldgate",51.509305,-0.025901,Tower Hamlets
"Ranelagh Gardens, Fulham",51.52888,-0.04759,Tower Hamlets
"Barons Court Station, West Kensington",51.501545,-0.222224,Hammersmith and Fulham
"Disraeli Road, Putney",51.494099,-0.12067,Lambeth
"Alfreda Street, Battersea Park",51.476021,-0.123877,Lambeth
"Sirdar Road, Avondale",51.533399,-0.139129,Camden
"Oxford Road, Putney",51.513806,-0.153784,City of Westminster
"Harcourt Terrace, West Brompton",51.49272,-0.092134,Southwark
"Hoxton Street, Hoxton",51.518169,-0.06265,Tower Hamlets
"Union Grove, Wandsworth Road",51.521172,-0.209352,Kensington and Chelsea
"Woodstock Grove, Shepherd's Bush",51.5096,-0.204666,Kensington and Chelsea
"Surrey Lane, Battersea",51.458168,-0.192089,Wandsworth
"Holden Street, Battersea",51.49137,-0.096407,Southwark
"South Kensington Station, South Kensington",51.510146,-0.211386,Kensington and Chelsea
"Prince Consort Road, Knightsbridge",51.471019,-0.187061,Hammersmith and Fulham
"New North Road 2, Hoxton",51.496185,-0.191226,Kensington and Chelsea
"Macclesfield Rd, St Lukes",51.525909,-0.036108,Tower Hamlets
"Greycoat Street , Westminster",51.491782,-0.233823,Hammersmith and Fulham
"Oval Way, Vauxhall",51.497803,-0.109843,Southwark
"Westbourne Park Road, Portobello",51.531961,-0.177063,City of Westminster
"Little Brook Green, Brook Green",51.487504,-0.161075,Kensington and Chelsea
"Abyssinia Close, Clapham Junction",51.518445,-0.043266,Tower Hamlets
"Cromer Street, Bloomsbury",51.514031,-0.081122,City of London
"Bevington Road West, North Kensington",51.509627,-0.119051,City of Westminster
"Ethelburga Estate, Battersea Park",51.52603,-0.095141,Islington
"Hertford Road, De Beauvoir Town",51.526853,-0.089067,Islington
"Culvert Road, Battersea",51.459372,-0.186113,Wandsworth
"Clifton Street, Shoreditch",52.111338,-1.920788,Hackney
"Wandsworth Rd, Isley Court, Wandsworth Road",51.504014,-0.105251,Southwark
"Rainville Road, Hammersmith",51.525602,-0.144051,Camden
"Golden Square, Soho",51.513845,-0.140753,Islington
"Queen Victoria Street, St. Paul's",51.492229,-0.187414,Kensington and Chelsea
"Ravenscourt Park Station, Hammersmith",51.462177,-0.210858,Wandsworth
"Dorothy Road, Clapham Junction",51.473958,-0.183892,Hammersmith and Fulham
"Battersea Church Road, Battersea",51.506333,-0.218385,Hammersmith and Fulham
"Paddington Green Police Station, Paddington",51.539091,-0.070311,Hackney
"Harrington Square 2, Camden Town",51.478253,-0.144312,Wandsworth
"Vincent Street, Pimlico",51.492974,-0.130628,City of Westminster
"Killick Street, King's Cross",51.477243,-0.164948,Wandsworth
"Bethnal Green Garden, Bethnal Green",51.47105,-0.126249,Lambeth
"Hewison Street, Old Ford",51.492678,-0.141822,City of Westminster
"Warwick Road, Olympia",51.507974,-0.10684,Southwark
"Claverton Street, Pimlico",51.514706,-0.023963,Tower Hamlets
"New North Road 1, Hoxton",51.51303,-0.2195,Kensington and Chelsea
"Wellington Street , Strand",51.523196,-0.100144,Islington
"Flood Street, Chelsea",51.521578,-0.083422,Hackney
"Park Lane , Hyde Park",51.460203,-0.167309,Wandsworth
"Rochester Row, Westminster",51.471989,-0.159559,Wandsworth
"Limburg Road, Clapham Junction",51.474949,-0.175375,Wandsworth
"Bishop's Bridge Road East, Bayswater",42.511839,-92.401573,Lambeth
"Sugden Road, Clapham",51.46205,-0.180064,Wandsworth
"Danvers Street, West Chelsea",51.457921,-0.174708,Wandsworth
"Nantes Close, Wandsworth",51.469187,-0.113207,Lambeth
"Bury Place, Holborn",51.53331,-0.111448,Islington
"Somerset House, Strand",51.482759,-0.117333,Lambeth
"Monument Street, Monument",51.519816,-0.093979,City of London
"Broomhouse Lane, Parsons Green",51.47296,-0.133932,Wandsworth
"West Kensington Station, West Kensington",51.489741,-0.173462,Kensington and Chelsea
"Hibbert Street, Battersea",51.461608,-0.175152,Wandsworth
"Carnegie Street, King's Cross",51.531258,-0.110352,Islington
"Erin Close, Walham Green",51.5075,-0.205536,Kensington and Chelsea
"Gloucester Street, Pimlico",51.519279,-0.032232,Tower Hamlets
"Chadwell Street, Angel",51.511749,-0.119723,City of Westminster
"Drayton Gardens, West Chelsea",51.487211,-0.179383,Kensington and Chelsea
"Kingsway Southbound, Strand",51.504035,-0.104771,Southwark
"Parson's Green , Parson's Green",51.503663,-0.09341,Southwark
"Irene Road, Parsons Green",51.482818,-0.223448,Hammersmith and Fulham
"Wandsworth Town Station, Wandsworth",51.501483,-0.180041,City of Westminster
"William Morris Way, Sands End",51.54467,-0.033029,Hackney
"Princes Square, Bayswater",51.532962,-0.136919,Camden
"Belgrave Road, Victoria",-37.789456,144.928671,City of Westminster
"North Wharf Road, Paddington",51.498382,-0.192829,Kensington and Chelsea
"Southwark Station 2, Southwark",51.52427,-0.163408,City of Westminster
"Fashion Street, Whitechapel",51.526734,-0.104286,Islington
"Fore Street, Guildhall",51.510102,-0.085945,City of London
"Lancaster Gate , Bayswater",51.506794,-0.15059,City of Westminster
"Claremont Square, Angel",51.458151,-0.20587,Wandsworth
"Green Park Station, Mayfair",51.491483,-0.192711,Kensington and Chelsea
"Limerston Street, West Chelsea",51.494527,-0.18377,Kensington and Chelsea
"Fire Brigade Pier, Vauxhall",51.495513,-0.228398,Hammersmith and Fulham
"Aberdeen Place, St. John's Wood",51.478709,-0.126412,Lambeth
"Shouldham Street, Marylebone",51.515033,-0.165474,City of Westminster
"Chelsea Bridge, Pimlico",51.492413,-0.093342,Southwark
"South Parade, Chelsea",51.51353,-0.191323,City of Westminster
"Garnet Street, Shadwell",51.535489,-0.082572,Hackney
"Bonny Street, Camden Town",51.501077,-0.129547,City of Westminster
"Old Ford Road, Bethnal Green",51.518969,-0.131263,Camden
"Eagle Wharf Road, Hoxton",51.514474,-0.141436,City of Westminster
"Westfield Library Corner, Shepherd's Bush",51.524479,-0.079404,Hackney
"Canton Street, Poplar",51.485872,-0.149805,City of Westminster
"Devons Road, Bow",51.470403,-0.161258,Wandsworth
"Driffield Road, Old Ford",51.494647,-0.158067,Kensington and Chelsea
"Clarges Street, Mayfair",51.5338,-0.118647,Islington
"St. Bride Street, Holborn",51.523023,-0.095079,City of London
"Halford Road, West Kensington",51.461687,-0.197573,Wandsworth
"Kings Gate House, Westminster",51.460907,-0.187228,Wandsworth
"Broadley Terrace, Marylebone",51.49496,-0.115922,Lambeth
"Rossmore Road, Marylebone",51.491192,-0.117523,Lambeth
"Lavington Street, Bankside",51.47562,-0.175342,Wandsworth
"One Tower Bridge, Bermondsey",51.518783,-0.143831,City of Westminster
"Saltoun Road, Brixton",51.452566,-2.572723,Lambeth
"Allington Street, Victoria",51.525226,-0.135196,Camden
"Howick Place, Westminster",51.516066,-0.082121,City of London
"Mile End Stadium, Mile End",51.513194,-0.21161,Kensington and Chelsea
"Falcon Road, Clapham Junction",51.463874,-0.167831,Wandsworth
"Great Suffolk Street, The Borough",51.502867,-0.101296,Southwark
"Evesham Street, Avondale",51.476405,-0.194822,Hammersmith and Fulham
"Buckingham Gate, Westminster",51.499608,-0.139797,City of Westminster
"Westbridge Road, Battersea",51.51362,-0.198333,Kensington and Chelsea
"Royal College Street, Camden Town",51.468726,-0.210292,Hammersmith and Fulham
"Ashley Crescent, Battersea",51.499861,-0.17691,City of Westminster
"Bishop's Avenue, Fulham",51.464934,-0.172883,Wandsworth
"Blackfriars Road, Southwark",51.515347,-0.146767,City of Westminster
"Fisherman's Walk West, Canary Wharf",51.525314,-0.077446,Hackney
"Jubilee Street, Stepney",51.529125,-0.093388,Hackney
"Pitfield Street North,Hoxton",51.514682,-0.210252,Kensington and Chelsea
"Lincoln's Inn Fields, Holborn",51.516725,-0.05921,Tower Hamlets
"Dunston Road , Haggerston",51.521843,-0.076189,Tower Hamlets
"Orbel Street, Battersea",51.47378,-0.191311,Hammersmith and Fulham
"St. John's Road, Clapham Junction",51.520976,-0.138919,Camden
"Timber Lodge, Queen Elizabeth Olympic Park",51.51355,-0.005652,Tower Hamlets
"Beryl Road, Hammersmith",51.521067,-0.078881,City of London
"Charlotte Terrace, Angel",51.496837,-0.223777,Hammersmith and Fulham
"Everington Street, Fulham",51.521937,-0.063102,Tower Hamlets
"Finnis Street, Bethnal Green",51.510933,-0.214588,Kensington and Chelsea
"St. Peter's Terrace, Fulham",51.460705,-0.216394,Wandsworth
"Queensdale Road, Shepherd's Bush",51.488443,-0.135208,City of Westminster
"Podium, Queen Elizabeth Olympic Park",48.336825,-116.395027,Newham
"Lansdowne Way Bus Garage, Stockwell",51.460183,-0.190275,Wandsworth
"Ormonde Gate, Chelsea",51.527862,-0.055738,Tower Hamlets
"Grenfell Road, Avondale",51.511168,-0.056498,Tower Hamlets
"Tate Modern, Bankside",51.479311,-0.195629,Hammersmith and Fulham
"Houndsditch, Aldgate",51.525637,-0.179189,City of Westminster
"Ossulston Street, Somers Town",51.517934,-0.096797,City of London
"Good's Way, King's Cross",51.537028,-0.122977,Camden
"Cranmer Road, Stockwell",51.508793,-0.060881,Tower Hamlets
"Westferry Circus, Canary Wharf",37.358528,-79.178008,Tower Hamlets
"York Way, Kings Cross",51.532144,-0.105443,Islington
"Cadogan Close, Victoria Park",51.513787,-0.098451,City of London
"Montserrat Road , Putney",51.45878,-0.201095,Wandsworth
"Albert Bridge Road, Battersea Park",51.511846,-0.175108,City of Westminster
"Coram Street, Bloomsbury",51.523861,-0.126735,Camden
"Birkenhead Street, King's Cross",51.53056,-0.122581,Camden
"Bromley High Street, Bow",51.49477,-0.136287,City of Westminster
"Furze Green, Bow",51.476249,-0.206139,Hammersmith and Fulham
"Sackville Street, Mayfair",51.509076,-0.129745,City of Westminster
"Prince Albert Road, The Regent's Park",51.510222,-0.068286,Tower Hamlets
"Belvedere Road 2, South Bank",51.503335,-0.216734,Hammersmith and Fulham
"Battersea Power Station, Battersea Park",51.500946,-0.082895,Southwark
"Normandy Road, Stockwell",51.511524,-0.151389,City of Westminster
"Sidney Road, Stockwell",51.492406,-0.17841,Kensington and Chelsea
"Concert Hall Approach 2, South Bank",51.528715,-0.127579,Camden
"London Zoo Car Park, The Regent's Park",51.504233,-0.1045,Southwark
"Waterloo Station 2, Waterloo",51.489854,-0.162679,Kensington and Chelsea
"Harriet Street, Knightsbridge",51.528993,-0.055884,Tower Hamlets
"Turquoise Island, Notting Hill",51.522562,-0.1315,Camden
"Moor Street, Soho",51.513494,-0.129878,City of Westminster
"Vauxhall Street, Vauxhall",51.501987,-0.016183,Tower Hamlets
"Lord's, St. John's Wood",51.528272,-0.013732,Tower Hamlets
"Snow Hill, Farringdon",43.462102,-80.525301,City of London
"Palace Gate, Kensington Gardens",51.488294,-0.226855,Hammersmith and Fulham
"Walworth Road, Elephant & Castle",51.493107,-0.099843,Southwark
"Granby Street, Shoreditch",51.529893,-0.123624,Camden
"Selby Street, Whitechapel",51.472723,-0.148007,Wandsworth
"Ford Road, Old Ford",51.510665,-0.152325,City of Westminster
"Bell Street , Marylebone",51.481389,-0.138176,Wandsworth
"Naval Row, Blackwall",51.484387,-0.211893,Hammersmith and Fulham
"Castalia Square, Cubitt Town",51.493281,-0.237073,Hammersmith and Fulham
"Westfield Southern Terrace ,Shepherd's Bush",51.501878,-0.184283,Kensington and Chelsea
"Spindrift Avenue, Millwall",51.508636,-0.199788,Kensington and Chelsea
"Kensington Gore, Knightsbridge",51.522027,-0.082563,Hackney
"Devonshire Terrace, Bayswater",51.494056,-0.178761,Kensington and Chelsea
"Sardinia Street, Holborn",51.536008,-0.103194,Islington
"De Vere Gardens, Kensington",51.52249,-0.041382,Tower Hamlets
"All Saints' Road, Portobello",51.502838,-0.112801,Lambeth
"Hansard Mews, Holland Park",51.530733,-0.08623,Hackney
"Peterborough Road, Sands End",51.462434,-0.189388,Wandsworth
"Salmon Lane, Limehouse",51.484661,-0.206515,Hammersmith and Fulham
"East Ferry Road, Cubitt Town",51.535468,-0.116167,Islington
"Burdett Road, Mile End",51.520374,-0.170585,City of Westminster
"Heron Quays DLR, Canary Wharf",51.535981,-0.0266,Tower Hamlets
"Addison Road, Holland Park",51.490162,-0.13638,City of Westminster
"Newby Place, Poplar",51.505922,-0.105065,Southwark
"Upper Grosvenor Street, Mayfair",51.454439,-0.194946,Wandsworth
"Buxton Street 1, Shoreditch",51.505759,-0.026885,Tower Hamlets
"Lindfield Street, Poplar",51.4902,-0.215087,Hammersmith and Fulham
"Shoreditch Court, Haggerston",51.52219,-0.039346,Tower Hamlets
"Kennington Oval, Oval",51.526314,-0.104373,Islington
"Kingsway, Covent Garden",51.505736,-0.099794,Southwark
"Dickens Square, Borough",51.469832,-0.117933,Lambeth
"Butler Place, Westminster",51.501804,-0.152753,City of Westminster
"Santos Road, Wandsworth",51.518753,-0.011678,Tower Hamlets
"Archbishop's Park, Waterloo",51.461342,-0.15926,Wandsworth
"Clarence Walk, Stockwell",51.517543,-0.107949,City of London
"Copper Box Arena, Queen Elizabeth Olympic Park",51.514248,-0.075719,City of London
"Victory Place, Walworth",51.535058,-0.081159,Hackney
"St John's Crescent, Brixton",51.486183,-0.212464,Hammersmith and Fulham
"Jubilee Plaza, Canary Wharf",51.520459,-0.174068,City of Westminster
"Grosvenor Road, Pimlico",51.46895,-0.156146,Wandsworth
"Import Dock, Canary Wharf",51.493845,-0.147728,City of Westminster
"Westfield Ariel Way, White City",51.520405,-0.171322,City of Westminster
"Finlay Street, Fulham",51.478843,-0.208616,Hammersmith and Fulham
"Queensbridge Road, Haggerston",51.485927,-0.175874,Kensington and Chelsea
"Rectory Square, Stepney",51.509248,-0.216008,Kensington and Chelsea
"South Park, Sands End",51.456829,-0.202782,Wandsworth
"Here East South, Queen Elizabeth Olympic Park",51.515833,-0.047554,Tower Hamlets
"South Quay East, Canary Wharf",51.522674,-0.030244,Tower Hamlets
"Heath Road, Battersea",51.498982,-0.019776,Tower Hamlets
"Stockwell Roundabout, Stockwell",51.517719,-0.184402,City of Westminster
"Stewart's Road, Wandsworth Road",51.531716,-0.167858,City of Westminster
"Mexfield Road, East Putney",51.460934,-0.215348,Wandsworth
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.514911,-0.135085,City of Westminster
"Ingrave Street, Clapham Junction",51.487041,-0.219677,Hammersmith and Fulham
"Hawley Crescent, Camden Town",51.510473,-0.187233,City of Westminster
"Michael Road, Walham Green",51.536451,-0.112566,Islington
